,CO2
2973,274.0
2974,350.0
2975,350.0
2977,368.0
2979,350.0
2981,350.0
2983,368.0
2985,368.0
2987,132.0
2988,115.0
2989,132.0
2990,145.0
2992,115.0
2993,115.0
2994,219.0
2996,175.0
2997,157.0
2999,144.0
3000,168.0
3001,159.0
3003,148.0
3011,135.0
3019,150.0
3027,136.0
3101,159.0
3102,176.0
3105,139.0
3129,155.0
3137,155.0
3177,167.0
3178,181.0
3179,188.0
3180,161.0
3182,165.0
3204,280.0
3206,280.0
3208,280.0
3216,285.0
3218,285.0
3220,285.0
3222,235.0
3226,248.0
3230,235.0
3234,248.0
3238,231.0
3242,243.0
3246,231.0
3250,243.0
3254,230.0
3259,230.0
3266,242.0
3268,230.0
3272,232.0
3280,242.0
3282,234.0
3290,234.0
3302,246.0
3304,234.0
3312,246.0
3314,276.0
3316,276.0
3322,231.0
3324,231.0
3326,270.0
3328,195.0
3330,308.0
3336,321.0
3338,308.0
3346,308.0
3350,308.0
3418,128.0
3419,133.0
3420,135.0
3422,129.0
3438,127.0
3440,131.0
3442,133.0
3446,128.0
3472,120.0
3526,129.0
3527,134.0
3528,136.0
3532,127.0
3534,131.0
3536,133.0
3561,156.0
3562,159.0
3565,143.0
3568,145.0
3571,148.0
3581,161.0
3582,165.0
3725,137.0
3727,138.0
3729,141.0
3731,144.0
3753,137.0
3754,135.0
3755,138.0
3756,136.0
3757,141.0
3759,145.0
3760,139.0
3907,138.0
3909,141.0
3911,144.0
3919,138.0
3920,136.0
3921,141.0
3922,137.0
3923,145.0
3924,139.0
3931,137.0
3945,135.0
4003,145.0
4004,147.0
4019,136.0
4021,138.0
4023,141.0
4025,142.0
4027,149.0
4063,136.0
4065,138.0
4067,140.0
4069,142.0
4071,147.0
4195,136.0
4197,138.0
4199,142.0
4201,149.0
4227,136.0
4229,138.0
4231,142.0
4233,147.0
4259,139.0
4261,142.0
4263,144.0
4265,150.0
4283,139.0
4285,141.0
4287,145.0
4289,149.0
4443,154.0
4444,157.0
4445,160.0
4446,168.0
4455,150.0
4456,152.0
4457,156.0
4458,161.0
4467,154.0
4468,160.0
4469,168.0
4477,152.0
4478,158.0
4479,163.0
4535,160.0
4536,164.0
4537,167.0
4538,177.0
4547,155.0
4548,156.0
4549,159.0
4550,162.0
4919,150.0
4920,152.0
4921,156.0
4922,161.0
5015,152.0
5016,158.0
5017,163.0
5147,155.0
5148,156.0
5149,159.0
5150,162.0
5191,159.0
5193,164.0
5207,174.0
5209,178.0
5223,159.0
5225,164.0
5263,165.0
5265,170.0
5279,280.0
5283,280.0
5288,280.0
5292,280.0
5295,285.0
5299,285.0
5315,224.0
5318,227.0
5321,232.0
5333,237.0
5336,238.0
5339,242.0
5351,322.0
5353,324.0
5355,328.0
5363,244.0
5367,244.0
5371,334.0
5375,118.0
5379,126.0
5381,128.0
5383,130.0
5397,127.0
5399,129.0
5401,131.0
5415,122.0
5417,126.0
5419,129.0
5464,142.0
5466,144.0
5524,169.0
5526,170.0
5528,172.0
5586,159.0
5587,159.0
5589,161.0
5590,161.0
5592,164.0
5604,214.0
5605,216.0
5608,229.0
5610,231.0
5616,209.0
5624,224.0
5626,226.0
5632,235.0
5634,248.0
5636,248.0
5638,231.0
5640,243.0
5642,243.0
5644,142.0
5645,147.0
5646,150.0
5656,130.0
5657,136.0
5658,140.0
5668,160.0
5669,164.0
5670,167.0
5680,149.0
5681,156.0
5682,161.0
5692,150.0
5693,152.0
5706,142.0
5707,146.0
5708,148.0
5720,168.0
5721,173.0
5728,157.0
5729,162.0
5731,164.0
5738,142.0
5739,145.0
5740,151.0
5762,135.0
5763,138.0
5764,142.0
6010,165.0
6012,168.0
6014,172.0
6074,152.0
6076,155.0
6078,160.0
6138,149.0
6139,153.0
6140,157.0
6152,139.0
6153,142.0
6154,145.0
6250,180.0
6252,183.0
6254,178.0
6270,175.0
6286,159.0
6288,162.0
6290,163.0
6774,132.0
6775,138.0
6776,142.0
6834,149.0
6835,156.0
6836,161.0
6846,144.0
6847,148.0
6848,150.0
6908,157.0
6909,162.0
6911,164.0
6918,135.0
6919,138.0
6920,142.0
6921,142.0
7146,154.0
7148,157.0
7150,162.0
7178,141.0
7179,144.0
7180,147.0
7382,159.0
7384,162.0
7386,163.0
7448,164.0
7449,166.0
7452,167.0
7460,160.0
7461,164.0
7462,166.0
7474,168.0
7475,173.0
7477,175.0
7484,169.0
7485,175.0
7542,159.0
7543,161.0
7545,164.0
7573,174.0
7575,176.0
7639,165.0
7641,168.0
7643,169.0
7667,184.0
7669,186.0
7713,164.0
7714,166.0
7717,167.0
7725,160.0
7726,164.0
7727,166.0
7753,168.0
7754,173.0
7756,175.0
7763,169.0
7764,175.0
7888,164.0
7985,174.0
7987,176.0
8105,165.0
8106,168.0
8108,169.0
8187,184.0
8189,186.0
8227,172.0
8228,176.0
8229,177.0
8241,178.0
8242,185.0
8255,175.0
8256,185.0
8267,189.0
8268,199.0
8279,183.0
8280,184.0
8289,197.0
8290,205.0
8299,209.0
8301,209.0
8303,213.0
8307,213.0
8311,209.0
8327,209.0
8335,219.0
8347,216.0
8355,216.0
8359,222.0
8365,230.0
8381,230.0
8397,230.0
8409,242.0
8413,234.0
8421,234.0
8429,246.0
8431,246.0
8442,348.0
8444,348.0
8445,348.0
8447,348.0
8448,348.0
8453,322.0
8457,397.0
8479,262.0
8481,269.0
8487,288.0
8637,176.0
8638,177.0
8639,179.0
8640,180.0
8665,194.0
8666,196.0
8667,198.0
8668,203.0
8669,189.0
8671,192.0
8677,199.0
8894,199.0
8897,206.0
8942,258.0
8944,269.0
8950,276.0
8954,276.0
9000,233.0
9006,235.0
9048,235.0
9054,235.0
9064,306.0
9066,311.0
9070,306.0
9072,311.0
9088,306.0
9090,311.0
9140,177.0
9141,180.0
9142,184.0
9146,189.0
9147,193.0
9182,179.0
9183,182.0
9184,186.0
9194,189.0
9195,193.0
9334,219.0
9335,221.0
9336,224.0
9340,228.0
9341,229.0
9344,219.0
9345,221.0
9346,224.0
9356,230.0
9357,231.0
9364,199.0
9365,207.0
9366,210.0
9367,213.0
9376,199.0
9377,207.0
9378,210.0
9379,213.0
9400,329.0
9402,332.0
9416,244.0
9418,244.0
9420,244.0
9424,244.0
9428,334.0
9436,159.0
9438,169.0
9440,176.0
9456,212.0
9458,214.0
9464,231.0
9466,231.0
9468,270.0
9470,149.0
9471,154.0
9472,158.0
9478,142.0
9479,147.0
9480,151.0
9526,160.0
9527,169.0
9532,144.0
9533,153.0
9554,167.0
9558,195.0
9560,289.0
28398,279.0
28408,284.0
28418,284.0
28482,279.0
28566,279.0
28680,284.0
28690,284.0
41504,279.0
41506,279.0
41507,279.0
41512,284.0
41518,284.0
41524,284.0
41548,279.0
41592,279.0
41662,284.0
41825,169.0
41826,157.0
41828,154.0
41829,127.0
41830,133.0
41831,154.0
41832,139.0
41833,153.0
41834,169.0
41838,167.0
41839,155.0
41841,152.0
41842,124.0
41843,129.0
41844,152.0
41845,137.0
41846,150.0
41847,167.0
41852,184.0
41853,172.0
41856,139.0
41857,168.0
41858,140.0
41859,168.0
41862,143.0
41863,166.0
41864,157.0
41865,180.0
41871,127.0
41872,150.0
41873,136.0
41874,149.0
41875,165.0
41878,165.0
41879,153.0
41880,121.0
41881,150.0
41882,121.0
41883,127.0
41884,150.0
41885,165.0
41886,153.0
41887,136.0
41888,149.0
41889,165.0
41895,154.0
41896,133.0
41897,153.0
41898,139.0
41899,169.0
41902,169.0
41903,157.0
41904,135.0
41905,133.0
41920,119.0
41922,243.0
41927,157.0
41940,96.0
41941,96.0
41942,92.0
41943,245.0
41944,248.0
41947,254.0
41948,262.0
41949,279.0
41950,279.0
41953,275.0
41954,275.0
41955,138.0
41957,147.0
41958,139.0
41959,136.0
41960,138.0
41961,159.0
41962,159.0
41968,115.0
41969,115.0
41972,95.0
41974,99.0
41977,139.0
41978,149.0
41979,159.0
41981,169.0
41982,169.0
41987,169.0
41990,169.0
41991,169.0
41996,169.0
42083,144.0
42084,154.0
42085,139.0
42086,149.0
42088,183.0
42093,187.0
42095,193.0
42100,177.0
42116,124.0
42120,119.0
42121,120.0
42124,129.0
42125,130.0
42130,109.0
42131,106.0
42132,131.0
42133,118.0
42134,115.0
42143,206.0
42144,139.0
42145,139.0
42146,139.0
42147,139.0
42148,142.0
42149,139.0
42150,142.0
42151,143.0
42152,143.0
42153,143.0
42154,144.0
42175,189.0
42176,189.0
42177,136.0
42178,136.0
42179,159.0
42180,159.0
42181,136.0
42182,136.0
42183,136.0
42184,137.0
42203,129.0
42204,129.0
42205,135.0
42206,154.0
42207,159.0
42208,154.0
42209,129.0
42210,135.0
42211,129.0
42212,135.0
42213,129.0
42214,129.0
42215,129.0
42237,129.0
42263,148.0
42264,168.0
42265,168.0
42266,148.0
42267,148.0
42268,149.0
42279,120.0
42284,129.0
42304,129.0
42309,134.0
42311,143.0
42316,172.0
42333,129.0
42371,129.0
42375,134.0
42376,147.0
42399,249.0
