,CO2
2063,134.0
2064,124.0
2065,134.0
2066,124.0
2067,134.0
2068,134.0
2069,134.0
2070,134.0
2071,124.0
2072,134.0
2073,124.0
2074,134.0
2075,124.0
2076,134.0
2081,189.0
2082,179.0
2083,139.0
2085,139.0
2086,159.0
2087,139.0
2088,159.0
2097,124.0
2099,120.0
2101,124.0
2103,120.0
2105,134.0
2106,149.0
2109,149.0
2111,134.0
2112,149.0
2116,109.0
2119,154.0
2120,162.0
2121,139.0
2122,154.0
2123,162.0
2127,173.0
2129,173.0
2130,112.0
2132,112.0
2133,125.0
2135,125.0
2139,149.0
2141,149.0
2142,119.0
2144,120.0
2145,149.0
2147,149.0
2148,119.0
2150,120.0
2152,189.0
2153,174.0
2154,139.0
2157,139.0
2158,159.0
2159,139.0
2160,159.0
2161,172.0
2162,172.0
2163,172.0
2164,172.0
2165,168.0
2167,168.0
2168,181.0
2169,168.0
2171,168.0
2172,181.0
2173,168.0
2175,168.0
2176,184.0
2177,189.0
2179,194.0
2180,184.0
2181,189.0
2183,194.0
2184,184.0
2185,189.0
2188,194.0
2189,197.0
2190,189.0
2191,192.0
2194,194.0
2195,197.0
2197,194.0
2200,199.0
2201,203.0
2202,194.0
2203,197.0
2206,199.0
2207,203.0
2208,184.0
2209,189.0
2212,189.0
2213,192.0
2217,194.0
2220,194.0
2221,197.0
2224,194.0
2225,197.0
2226,194.0
2227,197.0
2228,199.0
2229,203.0
2230,199.0
2231,203.0
2232,184.0
2233,189.0
2234,192.0
2235,189.0
2236,194.0
2237,197.0
2238,184.0
2239,189.0
2240,192.0
2241,194.0
2242,197.0
2244,194.0
2245,197.0
2247,199.0
2248,203.0
2250,194.0
2251,197.0
2252,199.0
2253,203.0
2254,184.0
2255,189.0
2256,192.0
2257,184.0
2258,189.0
2259,192.0
2261,194.0
2262,197.0
2264,194.0
2265,197.0
2266,189.0
2267,194.0
2268,197.0
2269,194.0
2270,197.0
2272,199.0
2273,203.0
2274,194.0
2275,197.0
2276,194.0
2277,197.0
2278,199.0
2279,203.0
2280,199.0
2281,203.0
2282,194.0
2283,197.0
2284,194.0
2285,197.0
2286,199.0
2287,203.0
2288,199.0
2289,203.0
2291,138.0
2292,162.0
2293,147.0
2295,141.0
2296,159.0
2299,143.0
2300,167.0
2301,149.0
2302,150.0
2304,164.0
2313,110.0
2314,115.0
2319,171.0
2320,195.0
2321,149.0
2322,154.0
2323,174.0
2324,180.0
2346,99.0
2347,84.0
2348,106.0
2350,114.0
2351,114.0
2353,105.0
2354,145.0
2356,97.0
2357,100.0
2360,149.0
2361,117.0
2362,113.0
2363,117.0
2364,149.0
2365,134.0
2366,122.0
2367,113.0
2369,149.0
2370,134.0
2371,122.0
2372,113.0
2374,119.0
2375,114.0
2376,125.0
2377,117.0
2380,187.0
2381,149.0
2382,139.0
2384,135.0
2385,147.0
2386,178.0
2387,149.0
2388,159.0
2389,175.0
2393,224.0
2399,225.0
2402,225.0
2416,199.0
2417,199.0
2427,159.0
2428,159.0
2429,135.0
2430,135.0
2431,139.0
2432,139.0
2436,135.0
2437,135.0
2438,139.0
2439,139.0
2440,163.0
2441,163.0
2447,167.0
2448,159.0
2464,224.0
2467,230.0
2470,165.0
2471,185.0
2472,158.0
2473,185.0
2483,196.0
2484,196.0
2487,229.0
2488,229.0
2491,149.0
2493,169.0
2495,129.0
2497,149.0
2499,169.0
2503,149.0
2504,174.0
2505,133.0
2506,149.0
2507,174.0
2513,194.0
2514,194.0
2515,199.0
2516,199.0
2517,172.0
2519,172.0
2524,161.0
2526,161.0
2531,218.0
2532,218.0
2539,198.0
2549,187.0
2551,209.0
2555,213.0
2557,227.0
2572,217.0
2573,194.0
2577,217.0
2578,230.0
2591,124.0
2592,159.0
2593,127.0
2594,132.0
2597,124.0
2598,159.0
2599,127.0
2600,132.0
2603,114.0
2605,109.0
2606,145.0
2608,108.0
2609,114.0
2615,117.0
2616,149.0
2617,117.0
2618,149.0
2619,117.0
2623,158.0
2624,133.0
2632,94.0
2633,94.0
2634,85.0
2636,109.0
2637,109.0
2638,113.0
2639,113.0
2645,155.0
2646,155.0
2647,178.0
2648,159.0
2649,155.0
2650,129.0
2653,189.0
2654,179.0
2655,183.0
2656,149.0
2657,156.0
2658,139.0
2659,147.0
2660,135.0
2661,143.0
2663,119.0
2664,125.0
2732,120.0
2733,122.0
2735,149.0
2736,122.0
2738,135.0
2744,109.0
2745,114.0
2749,185.0
2750,191.0
2751,185.0
2752,207.0
2753,207.0
2758,99.0
2828,144.0
2834,134.0
2991,110.0
2995,142.0
2998,115.0
3002,138.0
3035,108.0
3043,127.0
3051,119.0
3059,127.0
3067,116.0
3075,129.0
3083,121.0
3091,129.0
3099,140.0
3100,133.0
3103,141.0
3104,135.0
3113,119.0
3121,139.0
3145,136.0
3153,144.0
3161,136.0
3169,144.0
3354,109.0
3356,110.0
3357,114.0
3359,116.0
3380,98.0
3383,99.0
3384,102.0
3386,105.0
3414,92.0
3490,109.0
3493,114.0
3496,116.0
3508,111.0
3511,118.0
3514,121.0
3551,109.0
3552,113.0
3553,115.0
3585,115.0
3586,112.0
3587,113.0
3590,116.0
3591,114.0
3593,119.0
3595,117.0
3598,122.0
3599,120.0
3600,121.0
3651,114.0
3655,115.0
3659,118.0
3663,121.0
3709,108.0
3710,113.0
3712,117.0
3851,112.0
3853,116.0
3854,114.0
3856,119.0
3858,117.0
3861,122.0
3862,120.0
3863,121.0
3881,114.0
3882,115.0
3886,118.0
3890,121.0
3983,114.0
3985,117.0
3987,120.0
4107,125.0
4109,127.0
4111,130.0
4113,131.0
4115,139.0
4151,129.0
4153,131.0
4155,133.0
4157,135.0
4159,140.0
4307,127.0
4309,130.0
4311,133.0
4313,141.0
4331,134.0
4333,136.0
4335,140.0
4337,144.0
4355,125.0
4357,127.0
4359,130.0
4361,131.0
4363,139.0
4399,129.0
4401,131.0
4403,133.0
4405,135.0
4407,140.0
4487,127.0
4489,130.0
4491,133.0
4493,141.0
4511,134.0
4513,136.0
4515,140.0
4517,144.0
4559,117.0
4562,120.0
4565,123.0
4568,133.0
4577,109.0
4599,125.0
4602,127.0
4605,131.0
4608,136.0
4617,116.0
4639,144.0
4640,146.0
4641,148.0
4642,152.0
4651,117.0
4654,123.0
4657,133.0
4681,128.0
4684,134.0
4687,139.0
4711,124.0
4714,126.0
4717,128.0
4720,135.0
4729,114.0
4751,134.0
4754,135.0
4757,136.0
4760,138.0
4787,147.0
4788,149.0
4789,151.0
4790,155.0
4799,125.0
4802,128.0
4805,131.0
4808,140.0
4835,125.0
4838,127.0
4841,131.0
4844,136.0
4871,144.0
4874,146.0
4877,148.0
4880,152.0
4931,128.0
4934,134.0
4937,143.0
4967,128.0
4971,134.0
4975,139.0
5027,128.0
5030,131.0
5033,132.0
5036,141.0
5063,134.0
5066,135.0
5069,136.0
5072,138.0
5099,147.0
5102,149.0
5105,151.0
5108,155.0
5159,185.0
5161,189.0
5175,154.0
5177,157.0
5239,191.0
5240,195.0
5247,159.0
5249,162.0
5303,119.0
5304,123.0
5305,119.0
5306,112.0
5307,116.0
5309,112.0
5312,123.0
5314,116.0
5433,109.0
5435,114.0
5437,117.0
5463,109.0
5476,134.0
5479,135.0
5482,138.0
5494,159.0
5495,161.0
5496,162.0
5504,174.0
5506,175.0
5508,176.0
5544,159.0
5546,160.0
5556,177.0
5559,179.0
5562,181.0
5574,144.0
5575,145.0
5576,146.0
5580,160.0
5581,162.0
5582,164.0
5786,134.0
5788,136.0
5790,141.0
5850,125.0
5851,127.0
5852,134.0
5898,134.0
5900,136.0
5902,141.0
5962,127.0
5963,129.0
5964,135.0
6166,140.0
6168,145.0
6170,147.0
6194,135.0
6195,138.0
6196,141.0
6208,140.0
6210,146.0
6212,147.0
6236,137.0
6237,139.0
6238,141.0
6314,123.0
6315,128.0
6316,131.0
6326,128.0
6327,134.0
6328,138.0
6338,135.0
6339,140.0
6341,142.0
6348,138.0
6349,141.0
6351,142.0
6358,130.0
6361,133.0
6364,139.0
6385,119.0
6470,123.0
6471,125.0
6498,129.0
6501,132.0
6504,138.0
6606,125.0
6607,128.0
6608,133.0
6634,136.0
6638,139.0
6642,141.0
6690,132.0
6691,133.0
6692,135.0
6704,139.0
6708,142.0
6712,143.0
6760,134.0
6761,141.0
6786,128.0
6787,134.0
6788,138.0
6798,119.0
6799,128.0
6800,133.0
6810,128.0
6811,134.0
6812,138.0
6822,119.0
6823,126.0
6824,129.0
6860,135.0
6861,140.0
6863,142.0
6870,127.0
6871,134.0
6872,136.0
6884,138.0
6885,141.0
6887,142.0
6894,126.0
6895,128.0
6896,130.0
6938,130.0
6941,133.0
6944,139.0
6998,126.0
6999,128.0
7000,133.0
7018,129.0
7021,132.0
7024,138.0
7078,128.0
7079,131.0
7080,136.0
7098,147.0
7101,152.0
7134,143.0
7135,149.0
7192,136.0
7196,139.0
7200,141.0
7248,134.0
7249,136.0
7250,138.0
7262,139.0
7266,142.0
7270,143.0
7318,136.0
7319,143.0
7320,145.0
7332,157.0
7336,161.0
7372,152.0
7373,155.0
7530,156.0
7531,159.0
7597,144.0
7598,149.0
7599,157.0
7629,166.0
7630,169.0
7687,152.0
7688,155.0
7689,162.0
7690,156.0
7699,143.0
7700,149.0
7701,150.0
7739,149.0
7740,154.0
7741,156.0
7777,173.0
7778,175.0
7785,156.0
7786,159.0
7809,180.0
7810,184.0
7813,188.0
7849,144.0
7850,149.0
7851,157.0
7873,160.0
7874,169.0
