,puiss_max,masse_ordma_min,Marque,Carrosserie,boite,gamme2
1026,318.0,1965,6,2,1,2
1027,298.0,1995,6,2,0,2
1028,318.0,1844,6,4,1,2
1029,298.0,1870,6,4,0,2
1034,377.0,1524,6,4,1,2
1036,476.0,1596,6,4,1,2
1037,476.0,1596,6,4,1,2
1038,321.0,1551,6,2,1,2
1039,321.0,1578,6,2,0,2
1040,321.0,1586,6,4,1,2
1041,321.0,1596,6,4,0,2
1042,321.0,1578,6,2,1,2
1043,321.0,1603,6,2,0,2
1044,321.0,1594,6,2,1,2
1045,321.0,1615,6,2,0,2
1046,377.0,1606,6,2,1,2
1047,91.0,1380,6,0,1,4
1051,103.0,1394,6,0,1,4
1052,91.0,1375,6,0,1,4
1056,91.0,1435,6,1,1,4
1060,103.0,1480,6,0,1,4
1063,104.0,1603,6,9,1,3
1067,103.0,1614,6,9,1,3
1068,50.0,939,6,0,1,1
1069,60.0,939,6,0,1,1
1070,103.0,1454,6,9,1,1
1071,85.0,1365,6,9,1,1
1072,103.0,1414,6,9,0,1
1077,72.0,1395,7,3,1,1
1078,88.0,1395,7,3,1,1
1087,50.0,875,7,0,1,0
1088,50.0,905,7,0,0,0
1089,50.0,875,7,0,1,0
1090,50.0,880,7,0,1,0
1091,50.0,915,7,0,0,0
1092,50.0,880,7,0,1,0
1093,88.0,1150,7,0,1,1
1094,88.0,1150,7,0,1,1
1095,88.0,1210,7,0,0,1
1096,88.0,1210,7,0,0,1
1097,70.0,1150,7,0,1,1
1098,70.0,1150,7,0,1,1
1099,70.0,1154,7,0,0,1
1100,70.0,1154,7,0,0,1
1115,60.0,1050,7,0,1,1
1116,60.0,1050,7,0,1,1
1117,60.0,1050,7,0,1,1
1118,50.0,1048,7,0,1,1
1119,50.0,1048,7,0,1,1
1120,88.0,1279,7,6,1,1
1121,88.0,1279,7,6,1,1
1122,88.0,1280,7,6,1,1
1123,88.0,1280,7,6,1,1
1124,70.0,1321,7,6,1,1
1125,70.0,1276,7,6,1,1
1132,88.0,1280,7,0,1,3
1133,88.0,1280,7,0,1,3
1134,88.0,1345,7,0,0,3
1135,88.0,1345,7,0,0,3
1136,115.0,1350,7,0,0,3
1137,115.0,1350,7,0,0,3
1138,70.0,1275,7,0,1,3
1139,70.0,1275,7,0,1,3
1155,86.0,1385,7,9,1,3
1156,86.0,1385,7,9,1,3
1157,88.0,1327,7,8,1,3
1158,115.0,1371,7,8,1,3
1159,115.0,1371,7,8,1,3
1177,88.0,1490,7,8,1,3
1178,88.0,1490,7,8,1,3
1188,88.0,1500,7,0,0,4
1189,115.0,1505,7,0,1,4
1190,115.0,1590,7,0,0,4
1198,88.0,1573,7,1,0,4
1199,115.0,1578,7,1,1,4
1200,115.0,1609,7,1,0,4
1210,149.0,1240,7,0,1,3
1211,88.0,1150,7,0,1,3
1212,88.0,1150,7,0,1,3
1213,88.0,1164,7,0,0,3
1214,88.0,1164,7,0,0,3
1215,115.0,1165,7,0,1,3
1216,70.0,1150,7,0,1,3
1217,70.0,1150,7,0,1,3
1218,70.0,1154,7,0,0,3
1219,70.0,1154,7,0,0,3
1229,60.0,1050,7,0,1,3
1230,60.0,1050,7,0,1,3
1231,60.0,1050,7,0,1,3
1232,88.0,1163,7,2,1,3
1233,88.0,1208,7,2,0,3
1234,115.0,1231,7,2,1,3
1236,60.0,1107,7,2,1,3
1237,60.0,1107,7,2,1,3
1238,120.0,1438,7,0,0,3
1239,88.0,1280,7,0,1,3
1240,147.0,1391,7,0,1,3
1248,147.0,1505,7,0,1,4
1249,115.0,1495,7,0,0,4
1250,115.0,1495,7,0,0,4
1282,54.0,1240,7,3,1,1
1283,54.0,1255,7,3,1,1
1284,85.0,1280,8,3,1,1
1285,60.5,1165,8,3,1,1
1300,85.0,1267,8,8,1,3
1301,60.5,1165,8,8,1,3
1303,85.0,1280,8,8,1,3
1304,60.5,1266,8,8,1,3
1309,66.0,1073,8,1,1,1
1310,55.0,1049,8,1,1,1
1313,66.0,1037,8,0,1,1
1314,66.0,1098,8,0,1,1
1315,55.0,1016,8,0,1,1
1366,416.0,1590,10,4,0,2
1367,416.0,1590,10,4,0,2
1370,416.0,1640,10,2,0,2
1371,416.0,1640,10,2,0,2
1374,360.0,1855,10,2,0,2
1375,360.0,1855,10,2,0,2
1378,360.0,1875,10,2,0,2
1379,360.0,1875,10,2,0,2
1382,541.0,1791,10,4,0,2
1383,541.0,1791,10,4,0,2
1384,486.0,1955,10,4,0,2
1385,486.0,1955,10,4,0,2
1387,51.0,975,11,0,0,0
1388,51.0,975,11,0,0,0
1390,51.0,975,11,0,1,0
1391,51.0,975,11,0,0,0
1393,51.0,940,11,0,1,0
1396,51.0,940,11,0,1,0
1400,51.0,940,11,0,1,0
1420,51.0,940,11,0,1,0
1422,73.5,1015,11,0,0,0
1423,73.5,1015,11,0,1,0
1424,73.5,1015,11,0,0,0
1426,73.5,1015,11,0,1,0
1427,73.5,1015,11,0,0,0
1429,73.5,1005,11,0,1,0
1431,73.5,1005,11,0,1,0
1434,73.5,1005,11,0,1,0
1436,99.0,1110,11,0,1,0
1437,118.0,1110,11,0,1,0
1440,62.5,1015,11,0,0,0
1441,62.5,1015,11,0,1,0
1442,62.5,1015,11,0,0,0
1443,62.5,1005,11,0,1,0
1445,62.5,1005,11,0,1,0
1446,48.0,940,11,0,1,0
1447,48.0,980,11,0,1,0
1448,48.0,940,11,0,1,0
1449,48.0,980,11,0,1,0
1450,51.0,1015,11,0,0,0
1451,51.0,1015,11,0,0,0
1453,51.0,1015,11,0,0,0
1455,51.0,980,11,0,1,0
1457,51.0,980,11,0,1,0
1458,51.0,980,11,0,1,0
1460,73.5,1055,11,0,0,0
1461,73.5,1055,11,0,0,0
1463,73.5,1055,11,0,1,0
1464,73.5,1055,11,0,0,0
1466,73.5,1045,11,0,1,0
1467,73.5,1045,11,0,1,0
1470,73.5,1045,11,0,1,0
1474,62.5,1055,11,0,0,0
1475,62.5,1055,11,0,1,0
1476,62.5,1055,11,0,0,0
1477,62.5,1045,11,0,1,0
1479,62.5,1045,11,0,1,0
1493,70.0,1320,11,6,1,0
1495,70.0,1330,11,6,1,0
1496,77.0,1335,11,6,1,0
1500,77.0,1335,11,6,1,0
1506,77.0,1345,11,6,1,0
1513,66.0,1280,11,0,1,3
1530,88.0,1335,11,0,1,3
1551,103.0,1350,11,0,1,3
1557,70.0,1415,11,3,1,1
1559,70.0,1445,11,3,1,1
1560,70.0,1445,11,3,1,1
1562,70.0,1505,11,3,1,1
1563,70.0,1505,11,3,1,1
1626,88.0,1490,11,3,1,1
1791,54.0,1255,11,3,1,1
1797,206.0,1987,11,9,0,4
1798,206.0,2031,11,9,0,4
1799,51.0,935,11,0,1,1
1801,51.0,1055,11,0,1,1
1820,51.0,1015,11,0,1,1
1902,62.5,1050,11,0,1,1
1904,62.5,1050,11,0,1,1
1906,62.5,1125,11,0,1,1
1914,57.0,1100,11,0,1,1
1931,57.0,1100,11,0,1,1
1935,77.0,1135,11,0,1,1
1937,51.0,1090,11,0,1,1
1939,62.5,1150,11,0,1,1
1940,57.0,1115,11,0,1,1
1957,57.0,1115,11,0,1,1
1961,77.0,1150,11,0,1,1
1963,51.0,1105,11,0,1,1
1965,62.5,1165,11,0,1,1
1978,88.0,1230,11,9,0,1
1979,88.0,1230,11,9,0,1
1980,88.0,1215,11,9,1,1
1981,88.0,1215,11,9,1,1
1989,88.0,1275,11,9,1,1
1994,77.0,1308,12,6,0,1
1995,92.0,1279,12,6,1,1
1996,66.0,1275,12,6,1,1
1999,110.0,1385,12,7,1,3
2000,134.0,1385,12,7,1,3
2001,92.0,1391,12,7,1,3
2002,74.0,1391,12,7,1,3
2012,77.0,1089,12,0,0,1
2013,77.0,1098,12,0,0,1
2014,134.0,1163,12,0,1,1
2015,92.0,1091,12,0,1,1
2017,92.0,1101,12,0,1,1
2018,59.0,1045,12,0,1,1
2019,59.0,1055,12,0,1,1
2020,74.0,1091,12,0,1,1
2021,74.0,1101,12,0,1,1
2022,60.0,1045,12,0,1,1
2023,60.0,1055,12,0,1,1
2024,44.0,1045,12,0,1,1
2025,44.0,1055,12,0,1,1
2033,110.0,1333,12,0,1,3
2034,110.0,1358,12,1,1,3
2035,110.0,1340,12,0,1,3
2036,134.0,1333,12,0,1,3
2037,134.0,1358,12,1,1,3
2038,134.0,1340,12,0,1,3
2039,92.0,1279,12,0,1,3
2040,92.0,1316,12,1,1,3
2041,92.0,1306,12,0,1,3
2042,74.0,1276,12,0,1,3
2043,74.0,1313,12,1,1,3
2044,74.0,1302,12,0,1,3
2051,92.0,1316,12,0,0,3
2052,92.0,1340,12,1,0,3
2053,92.0,1324,12,0,0,3
2054,184.0,1437,12,0,1,3
2055,184.0,1461,12,1,1,3
2077,63.0,1270,12,0,1,3
2078,63.0,1307,12,1,1,3
2079,63.0,1290,12,0,1,3
2080,118.0,1734,12,7,1,5
