"Marque;Carburant;puiss_max;masse_ordma_min;Carrosserie;boite;gamme2;CO2;Cat_CO2"
"AUDI;GO;110.0;1465;BERLINE;M;MOY-INFERIEURE;122.0;C"
"AUDI;ES;88.0;1565;BREAK;M;MOY-SUPERIEURE;154.0;D"
"AUDI;GO;180.0;1755;BREAK;M;MOY-SUPERIEURE;154.0;D"
"AUDI;ES;331.0;1870;BREAK;A;MOY-SUPERIEURE;249.0;F"
"AUDI;GO;130.0;1610;BREAK;M;MOY-SUPERIEURE;126.0;C"
"AUDI;GO;130.0;1715;BREAK;A;MOY-SUPERIEURE;144.0;D"
"AUDI;GO;130.0;1675;BREAK;M;MOY-SUPERIEURE;139.0;C"
"AUDI;ES;245.0;1825;BREAK;A;MOY-SUPERIEURE;197.0;E"
"AUDI;GO;100.0;1610;BREAK;M;MOY-SUPERIEURE;116.0;B"
"AUDI;GO;88.0;1615;BREAK;M;MOY-SUPERIEURE;123.0;C"
"AUDI;GO;180.0;1840;BREAK;A;MOY-SUPERIEURE;154.0;D"
"AUDI;GO;150.0;1695;BREAK;M;MOY-SUPERIEURE;135.0;C"
"AUDI;ES;200.0;1790;BREAK;A;MOY-SUPERIEURE;197.0;E"
"AUDI;GO;130.0;1745;TS TERRAINS/CHEMINS;A;MOY-SUPERIEURE;156.0;D"
"AUDI;GO;130.0;1705;TS TERRAINS/CHEMINS;M;MOY-SUPERIEURE;153.0;D"
"AUDI;GO;180.0;1865;TS TERRAINS/CHEMINS;A;MOY-SUPERIEURE;159.0;D"
"AUDI;ES;88.0;1505;BERLINE;M;MOY-SUPERIEURE;151.0;D"
"AUDI;GO;180.0;1715;BERLINE;M;MOY-SUPERIEURE;152.0;D"
"AUDI;GO;130.0;1555;BERLINE;M;MOY-SUPERIEURE;120.0;B"
"AUDI;GO;130.0;1670;BERLINE;A;MOY-SUPERIEURE;139.0;C"
"AUDI;GO;130.0;1635;BERLINE;M;MOY-SUPERIEURE;134.0;C"
"AUDI;ES;245.0;1780;BERLINE;A;MOY-SUPERIEURE;190.0;E"
"AUDI;GO;100.0;1550;BERLINE;M;MOY-SUPERIEURE;112.0;B"
"AUDI;GO;88.0;1560;BERLINE;M;MOY-SUPERIEURE;117.0;B"
"AUDI;GO;180.0;1795;BERLINE;A;MOY-SUPERIEURE;149.0;D"
"AUDI;GO;150.0;1650;BERLINE;M;MOY-SUPERIEURE;133.0;C"
"AUDI;ES;200.0;1740;BERLINE;A;MOY-SUPERIEURE;190.0;E"
"AUDI;GO;180.0;1680;COUPE;M;MOY-SUPERIEURE;151.0;D"
"AUDI;ES;331.0;1790;COUPE;A;MOY-SUPERIEURE;246.0;F"
"AUDI;GO;130.0;1545;COUPE;M;MOY-SUPERIEURE;120.0;B"
"AUDI;GO;130.0;1650;COUPE;A;MOY-SUPERIEURE;139.0;C"
"AUDI;GO;130.0;1610;COUPE;M;MOY-SUPERIEURE;134.0;C"
"AUDI;ES;245.0;1750;COUPE;A;MOY-SUPERIEURE;190.0;E"
"AUDI;GO;180.0;1755;COUPE;A;MOY-SUPERIEURE;149.0;D"
"AUDI;GO;150.0;1615;COUPE;M;MOY-SUPERIEURE;133.0;C"
"AUDI;ES;200.0;1725;COUPE;A;MOY-SUPERIEURE;190.0;E"
"AUDI;ES;331.0;1995;CABRIOLET;A;MOY-SUPERIEURE;249.0;F"
"AUDI;GO;130.0;1730;CABRIOLET;M;MOY-SUPERIEURE;127.0;C"
"AUDI;GO;130.0;1795;CABRIOLET;M;MOY-SUPERIEURE;142.0;D"
"AUDI;ES;245.0;1955;CABRIOLET;A;MOY-SUPERIEURE;199.0;E"
"AUDI;ES;200.0;1925;CABRIOLET;A;MOY-SUPERIEURE;199.0;E"
"AUDI;GO;180.0;1735;BERLINE;M;MOY-SUPERIEURE;152.0;D"
"AUDI;GO;130.0;1590;BERLINE;M;MOY-SUPERIEURE;120.0;B"
"AUDI;GO;130.0;1700;BERLINE;A;MOY-SUPERIEURE;139.0;C"
"AUDI;GO;130.0;1670;BERLINE;M;MOY-SUPERIEURE;134.0;C"
"AUDI;ES;245.0;1820;BERLINE;A;MOY-SUPERIEURE;190.0;E"
"AUDI;GO;180.0;1810;TS TERRAINS/CHEMINS;A;LUXE;152.0;D"
"AUDI;GO;150.0;1670;BERLINE;M;MOY-SUPERIEURE;133.0;C"
"AUDI;ES;200.0;1790;BERLINE;A;MOY-SUPERIEURE;190.0;E"
"AUDI;ES;132.0;1680;BREAK;M;LUXE;154.0;D"
"AUDI;GO;180.0;1865;BREAK;A;LUXE;156.0;D"
"AUDI;ES;309.0;2025;BREAK;A;LUXE;226.0;F"
"AUDI;GO;130.0;1715;BREAK;M;LUXE;132.0;C"
"AUDI;GO;100.0;1715;BREAK;M;LUXE;132.0;C"
"AUDI;GO;230.0;1930;BREAK;A;LUXE;166.0;E"
"AUDI;ES;228.0;1865;BREAK;A;LUXE;190.0;E"
"AUDI;ES;150.0;1705;BREAK;M;LUXE;177.0;E"
"AUDI;ES;150.0;1805;BREAK;A;LUXE;187.0;E"
"AUDI;GO;180.0;1900;BREAK;A;LUXE;156.0;D"
"AUDI;GO;150.0;1865;BREAK;A;LUXE;152.0;D"
"AUDI;GO;150.0;1765;BREAK;M;LUXE;139.0;C"
"AUDI;ES;412.0;2010;BREAK;A;LUXE;229.0;F"
