,puiss_max,masse_ordma_min,Marque,Carburant,Carrosserie,boite,gamme2
534,85.0,1485,4,1,0,1,5
535,85.0,1485,4,1,0,1,5
536,105.0,1635,4,1,0,0,5
537,105.0,1635,4,1,0,0,5
538,105.0,1615,4,1,0,1,5
539,105.0,1615,4,1,0,1,5
540,105.0,1570,4,1,1,0,5
541,105.0,1570,4,1,1,0,5
542,105.0,1550,4,1,1,1,5
543,105.0,1550,4,1,1,1,5
544,105.0,1505,4,0,1,1,5
545,105.0,1535,4,0,1,0,5
546,105.0,1565,4,1,1,1,5
547,105.0,1580,4,1,1,0,5
548,105.0,1505,4,1,0,0,5
549,105.0,1505,4,1,0,0,5
550,105.0,1485,4,1,0,1,5
551,105.0,1485,4,1,0,1,5
552,135.0,1635,4,0,0,0,5
553,135.0,1635,4,0,0,0,5
554,135.0,1650,4,1,0,0,5
555,135.0,1650,4,1,0,0,5
556,135.0,1640,4,1,0,1,5
557,135.0,1640,4,1,0,1,5
558,125.0,1670,4,0,2,1,5
559,125.0,1700,4,0,2,0,5
560,135.0,1730,4,1,2,1,5
561,135.0,1745,4,1,2,0,5
562,125.0,1435,4,0,4,1,5
563,125.0,1465,4,0,4,0,5
564,135.0,1590,4,1,4,1,5
565,135.0,1605,4,1,4,0,5
566,135.0,1495,4,1,4,1,5
567,135.0,1505,4,1,4,0,5
568,135.0,1560,4,0,0,0,5
569,135.0,1560,4,0,1,0,5
570,135.0,1540,4,0,0,1,5
571,135.0,1540,4,0,1,1,5
572,135.0,1635,4,0,1,0,5
573,135.0,1635,4,0,1,0,5
574,135.0,1615,4,0,1,1,5
575,135.0,1615,4,0,1,1,5
576,135.0,1660,4,1,1,0,5
577,135.0,1660,4,1,1,0,5
578,135.0,1650,4,1,1,1,5
579,135.0,1650,4,1,1,1,5
580,120.0,1575,4,1,1,0,5
581,120.0,1565,4,1,1,1,5
582,125.0,1505,4,0,1,1,5
583,125.0,1535,4,0,1,0,5
584,135.0,1580,4,1,1,1,5
585,135.0,1595,4,1,1,0,5
586,135.0,1665,4,1,1,1,5
587,135.0,1680,4,1,1,0,5
588,120.0,1580,4,1,1,1,5
589,135.0,1495,4,0,0,0,5
590,135.0,1495,4,0,0,0,5
591,135.0,1475,4,0,0,1,5
592,135.0,1475,4,0,0,1,5
593,135.0,1565,4,0,0,0,5
594,135.0,1565,4,0,0,0,5
595,135.0,1545,4,0,0,1,5
596,135.0,1545,4,0,0,1,5
597,135.0,1505,4,1,0,0,5
598,135.0,1505,4,1,0,0,5
599,135.0,1495,4,1,0,1,5
600,135.0,1495,4,1,0,1,5
601,135.0,1595,4,1,0,0,5
602,135.0,1595,4,1,0,0,5
603,135.0,1585,4,1,0,1,5
604,135.0,1585,4,1,0,1,5
605,120.0,1505,4,1,0,0,5
606,120.0,1495,4,1,0,1,5
607,125.0,1465,4,0,0,1,5
608,160.0,1730,4,0,2,1,5
609,160.0,1760,4,0,2,0,5
610,150.0,1815,4,1,2,1,5
611,150.0,1830,4,1,2,0,5
612,160.0,1505,4,0,4,1,5
613,160.0,1535,4,0,4,0,5
614,160.0,1605,4,0,4,1,5
615,160.0,1625,4,0,4,0,5
616,150.0,1590,4,1,4,1,5
617,150.0,1605,4,1,4,0,5
618,160.0,1615,4,1,1,1,5
619,160.0,1565,4,0,1,1,5
620,160.0,1595,4,0,4,0,5
621,160.0,1715,4,0,1,1,5
622,160.0,1735,4,0,1,0,5
623,150.0,1665,4,1,1,1,5
624,150.0,1680,4,1,1,0,5
625,160.0,1550,4,1,0,1,5
626,180.0,1680,4,0,1,0,5
627,180.0,1660,4,0,1,1,5
628,180.0,1530,4,0,0,0,5
629,180.0,1505,4,0,0,1,5
630,180.0,1610,4,0,0,0,5
631,180.0,1595,4,0,0,1,5
632,200.0,1780,4,0,2,1,5
633,200.0,1795,4,0,2,0,5
634,180.0,1825,4,1,2,1,5
635,180.0,1840,4,1,2,0,5
636,200.0,1640,4,0,4,1,5
637,200.0,1655,4,0,4,0,5
638,200.0,1540,4,0,4,1,5
639,200.0,1555,4,0,4,0,5
640,180.0,1700,4,1,4,1,5
641,180.0,1715,4,1,4,0,5
642,180.0,1600,4,1,4,1,5
643,180.0,1615,4,1,4,0,5
644,190.0,1750,4,1,1,0,5
645,200.0,1715,4,0,1,1,5
646,200.0,1735,4,0,1,0,5
647,200.0,1615,4,0,1,1,5
648,200.0,1630,4,0,1,0,5
649,180.0,1775,4,1,1,1,5
650,180.0,1790,4,1,1,0,5
651,180.0,1675,4,1,1,1,5
652,180.0,1690,4,1,1,0,5
653,190.0,1685,4,1,0,0,5
654,225.0,1810,4,0,2,1,5
655,225.0,1825,4,0,2,0,5
656,225.0,1680,4,0,4,1,5
657,225.0,1695,4,0,4,0,5
658,225.0,1600,4,0,4,1,5
659,225.0,1615,4,0,4,0,5
660,210.0,1645,4,1,4,0,5
661,225.0,1660,4,0,1,0,5
662,225.0,1650,4,0,1,1,5
663,225.0,1730,4,0,1,0,5
664,225.0,1735,4,0,1,1,5
665,225.0,1750,4,0,1,0,5
666,225.0,1670,4,0,1,1,5
667,225.0,1685,4,0,1,0,5
668,210.0,1720,4,1,1,0,5
669,225.0,1595,4,0,0,0,5
670,225.0,1585,4,0,0,1,5
671,225.0,1665,4,0,0,0,5
672,225.0,1655,4,0,0,1,5
673,135.0,1790,4,1,1,0,2
674,135.0,1790,4,1,1,0,2
675,135.0,1790,4,1,1,0,2
676,135.0,1785,4,1,1,1,2
677,135.0,1785,4,1,1,1,2
678,135.0,1785,4,1,1,1,2
679,135.0,1790,4,0,1,0,2
680,135.0,1790,4,0,1,0,2
681,135.0,1790,4,0,1,0,2
682,135.0,1780,4,0,1,1,2
683,135.0,1780,4,0,1,1,2
684,135.0,1780,4,0,1,1,2
685,135.0,1700,4,1,0,0,2
686,135.0,1700,4,1,0,0,2
687,135.0,1700,4,1,0,0,2
688,135.0,1695,4,1,0,1,2
689,135.0,1695,4,1,0,1,2
690,135.0,1695,4,1,0,1,2
691,135.0,1695,4,1,0,1,2
692,135.0,1685,4,0,0,0,2
693,135.0,1685,4,0,0,0,2
694,135.0,1685,4,0,0,0,2
695,135.0,1670,4,0,0,1,2
696,135.0,1670,4,0,0,1,2
697,135.0,1670,4,0,0,1,2
698,135.0,1950,4,1,0,0,2
699,160.0,1825,4,1,1,0,2
700,160.0,1825,4,1,1,0,2
701,160.0,1825,4,1,1,0,2
702,160.0,1820,4,1,1,1,2
703,160.0,1820,4,1,1,1,2
704,160.0,1820,4,1,1,1,2
705,160.0,1895,4,1,1,0,2
706,160.0,1895,4,1,1,0,2
707,160.0,1895,4,1,1,0,2
708,160.0,1795,4,1,0,0,2
709,160.0,1795,4,1,0,0,2
710,160.0,1795,4,1,0,0,2
711,160.0,1725,4,1,0,0,2
712,160.0,1725,4,1,0,0,2
713,160.0,1725,4,1,0,0,2
714,160.0,1720,4,1,0,1,2
715,160.0,1720,4,1,0,1,2
716,160.0,1720,4,1,0,1,2
717,180.0,1800,4,0,1,0,2
718,180.0,1800,4,0,1,0,2
719,180.0,1800,4,0,1,0,2
720,180.0,1790,4,0,1,1,2
721,180.0,1790,4,0,1,1,2
722,180.0,1790,4,0,1,1,2
723,180.0,1880,4,0,1,0,2
724,180.0,1880,4,0,1,0,2
725,180.0,1880,4,0,1,0,2
726,180.0,1695,4,0,0,0,2
727,180.0,1695,4,0,0,0,2
728,180.0,1695,4,0,0,0,2
729,180.0,1685,4,0,0,1,2
730,180.0,1685,4,0,0,1,2
731,180.0,1685,4,0,0,1,2
732,180.0,1780,4,0,0,0,2
733,180.0,1780,4,0,0,0,2
734,180.0,1780,4,0,0,0,2
735,190.0,1940,4,1,1,0,2
736,190.0,1940,4,1,1,0,2
737,190.0,1940,4,1,1,0,2
