,puiss_max,masse_ordma_min,Marque,Carrosserie,boite,gamme2
735,190.0,1940,4,1,0,2
736,190.0,1940,4,1,0,2
737,190.0,1940,4,1,0,2
744,190.0,1870,4,1,0,2
745,190.0,1870,4,1,0,2
746,190.0,1870,4,1,0,2
747,190.0,1860,4,1,1,2
748,190.0,1860,4,1,1,2
749,190.0,1860,4,1,1,2
750,190.0,1865,4,0,0,2
751,190.0,1865,4,0,0,2
752,190.0,1865,4,0,0,2
753,190.0,1770,4,0,0,2
754,190.0,1770,4,0,0,2
755,190.0,1770,4,0,0,2
756,190.0,1760,4,0,1,2
757,190.0,1760,4,0,1,2
758,190.0,1760,4,0,1,2
765,180.0,2035,4,0,0,2
766,180.0,2090,4,0,0,2
767,190.0,2085,4,0,0,2
768,190.0,2015,4,0,0,2
778,230.0,1970,4,1,0,2
779,230.0,1970,4,1,0,2
780,230.0,1970,4,1,0,2
781,230.0,1900,4,1,0,2
782,230.0,1900,4,1,0,2
783,230.0,1900,4,1,0,2
793,230.0,1800,4,0,0,2
794,230.0,1800,4,0,0,2
795,230.0,1800,4,0,0,2
796,230.0,1870,4,0,0,2
797,230.0,1870,4,0,0,2
798,230.0,1870,4,0,0,2
800,220.0,2045,4,0,0,2
802,220.0,2110,4,0,0,2
803,230.0,2115,4,0,0,2
804,230.0,2045,4,0,0,2
807,280.0,2065,4,1,0,2
812,280.0,1970,4,1,0,2
817,230.0,1945,4,4,0,2
818,230.0,1945,4,4,0,2
819,230.0,1945,4,4,0,2
829,230.0,1790,4,4,0,2
830,230.0,1790,4,4,0,2
831,230.0,1790,4,4,0,2
835,230.0,1935,4,2,0,2
836,230.0,1935,4,2,0,2
837,230.0,1935,4,2,0,2
838,230.0,1870,4,4,0,2
839,230.0,1870,4,4,0,2
840,230.0,1870,4,4,0,2
841,230.0,2005,4,2,0,2
842,230.0,2005,4,2,0,2
843,230.0,2005,4,2,0,2
867,180.0,1940,4,0,0,2
868,180.0,1975,4,0,0,2
869,190.0,1915,4,0,0,2
870,190.0,1985,4,0,0,2
871,190.0,1950,4,0,0,2
874,225.0,2025,4,0,0,2
875,225.0,1950,4,0,0,2
877,230.0,2015,4,0,0,2
878,230.0,1940,4,0,0,2
886,280.0,2070,4,0,0,2
888,280.0,2095,4,0,0,2
915,160.0,1670,4,9,0,4
916,160.0,1660,4,9,1,4
919,105.0,1570,4,9,0,4
920,105.0,1545,4,9,1,4
921,130.0,1575,4,9,0,4
922,130.0,1565,4,9,1,4
923,105.0,1570,4,9,0,4
924,105.0,1555,4,9,1,4
925,135.0,1575,4,9,0,4
926,135.0,1565,4,9,1,4
927,105.0,1650,4,9,0,4
928,105.0,1615,4,9,1,4
929,130.0,1660,4,9,0,4
930,130.0,1650,4,9,1,4
931,150.0,1670,4,9,0,4
932,150.0,1660,4,9,1,4
933,105.0,1650,4,9,0,4
934,105.0,1640,4,9,1,4
935,135.0,1660,4,9,0,4
936,135.0,1650,4,9,1,4
937,85.0,1555,4,9,1,4
938,120.0,1565,4,9,1,4
943,105.0,1755,4,9,0,5
944,105.0,1735,4,9,1,5
945,135.0,1800,4,9,0,5
946,135.0,1790,4,9,1,5
947,190.0,1875,4,9,0,5
948,230.0,1925,4,9,0,5
952,180.0,2150,4,9,0,2
953,225.0,2185,4,9,0,2
954,280.0,2225,4,9,0,2
960,280.0,2225,4,9,0,2
1018,55.0,1247,6,0,1,1
1019,70.0,1240,6,0,1,1
1024,55.0,1262,6,0,1,1
1025,70.0,1278,6,0,1,1
1030,120.0,1903,6,9,0,4
1031,120.0,1878,6,9,1,4
1032,135.0,1978,6,9,0,4
1033,135.0,1953,6,9,1,4
1048,120.0,1585,6,0,0,4
1049,120.0,1555,6,0,1,4
1050,96.0,1504,6,0,1,4
1053,120.0,1565,6,0,0,4
1054,120.0,1535,6,0,1,4
1055,96.0,1500,6,0,1,4
1057,120.0,1614,6,1,0,4
1058,120.0,1595,6,1,1,4
1059,96.0,1550,6,1,1,4
1061,118.0,1710,6,0,0,2
1062,118.0,1670,6,0,1,2
1064,120.0,1734,6,9,0,3
1065,120.0,1730,6,9,1,3
1066,96.0,1730,6,9,1,3
1073,96.0,1504,6,9,1,1
1074,96.0,1458,6,9,1,1
1075,96.0,1470,6,9,0,1
1079,84.0,1476,7,3,1,1
1080,55.0,1435,7,3,1,1
1081,68.0,1435,7,3,1,1
1082,68.0,1395,7,3,1,1
1083,68.0,1505,7,3,0,1
1084,84.0,1589,7,3,1,1
1085,68.0,1576,7,3,1,1
1101,50.0,1155,7,0,1,1
1102,50.0,1145,7,0,1,1
1103,50.0,1145,7,0,1,1
1104,84.0,1165,7,0,1,1
1105,84.0,1165,7,0,1,1
1106,84.0,1165,7,0,1,1
1107,84.0,1165,7,0,1,1
1108,68.0,1155,7,0,1,1
1109,68.0,1155,7,0,1,1
1110,68.0,1165,7,0,0,1
1111,68.0,1165,7,0,0,1
1112,68.0,1160,7,0,1,1
1113,68.0,1160,7,0,1,1
1114,68.0,1160,7,0,1,1
1126,84.0,1393,7,6,1,1
1127,84.0,1393,7,6,1,1
1128,68.0,1280,7,6,1,1
1129,68.0,1280,7,6,1,1
1130,68.0,1388,7,6,1,1
1131,68.0,1388,7,6,1,1
1140,84.0,1280,7,0,1,3
1141,84.0,1280,7,0,1,3
1142,84.0,1280,7,0,1,3
1143,84.0,1280,7,0,0,3
1144,84.0,1280,7,0,0,3
1145,84.0,1280,7,0,0,3
1146,68.0,1280,7,0,1,3
1147,68.0,1280,7,0,1,3
1148,68.0,1280,7,0,1,3
1149,110.0,1395,7,0,1,3
1150,110.0,1395,7,0,1,3
1151,110.0,1505,7,9,1,3
1152,110.0,1570,7,9,1,3
1153,84.0,1390,7,9,1,3
1154,84.0,1500,7,9,1,3
1160,85.0,1370,7,8,0,3
1161,85.0,1373,7,8,1,3
1162,85.0,1370,7,8,0,3
1163,68.0,1354,7,8,1,3
1164,68.0,1364,7,8,0,3
1165,82.0,1565,7,8,1,3
1166,82.0,1565,7,8,1,3
1167,82.0,1585,7,8,0,3
1168,82.0,1595,7,8,0,3
1169,82.0,1585,7,8,0,3
1170,82.0,1595,7,8,0,3
1171,82.0,1585,7,8,0,3
1172,82.0,1595,7,8,0,3
1173,110.0,1615,7,8,0,3
1174,110.0,1615,7,8,0,3
1175,110.0,1615,7,8,1,3
1176,110.0,1615,7,8,1,3
1179,82.0,1505,7,8,1,3
1180,82.0,1505,7,8,1,3
1181,82.0,1495,7,8,0,3
1182,82.0,1505,7,8,0,3
