,Cat_CO2
7739,D
7740,D
7741,D
7753,E
7754,E
7756,E
7763,E
7764,E
7777,E
7778,E
7785,D
7786,D
7809,E
7810,E
7813,E
7849,D
7850,D
7851,D
7873,D
7874,E
7888,E
7985,E
7987,E
8033,E
8034,E
8043,E
8044,E
8063,E
8069,E
8071,E
8085,D
8086,D
8087,E
8099,E
8100,E
8105,E
8106,E
8108,E
8187,E
8189,E
8227,E
8228,E
8229,E
8241,E
8242,E
8255,E
8256,E
8267,E
8268,E
8279,E
8280,E
8289,E
8290,F
8299,F
8301,F
8303,F
8307,F
8311,F
8327,F
8335,F
8347,F
8355,F
8359,F
8365,F
8381,F
8397,F
8409,F
8413,F
8421,F
8429,F
8431,F
8433,G
8435,G
8436,G
8437,G
8442,G
8444,G
8445,G
8447,G
8448,G
8453,G
8457,G
8459,E
8461,E
8463,F
8479,G
8481,G
8487,G
8489,D
8491,E
8493,E
8495,E
8497,E
8509,D
8510,D
8512,D
8513,D
8519,D
8520,D
8521,D
8522,D
8527,D
8528,D
8530,D
8531,D
8533,D
8536,D
8537,D
8539,D
8551,D
8552,D
8553,D
8554,D
8571,D
8572,E
8573,E
8574,E
8591,D
8593,D
8595,D
8597,D
8617,D
8619,E
8621,E
8623,E
8625,E
8637,E
8638,E
8639,E
8640,E
8645,E
8647,E
8649,E
8651,E
8653,E
8665,E
8666,E
8667,E
8668,F
8669,E
8671,E
8677,E
8689,D
8693,E
8697,E
8769,D
8773,E
8777,E
8834,E
8837,E
8840,E
8894,E
8897,F
8942,G
8944,G
8950,G
8954,G
8958,E
8959,F
8974,F
8976,F
9000,F
9006,F
9016,F
9022,F
9040,F
9048,F
9054,F
9064,G
9066,G
9070,G
9072,G
9088,G
9090,G
9100,D
9101,D
9102,D
9103,D
9108,D
9109,D
9110,D
9111,D
9124,E
9125,E
9128,E
9130,E
9132,E
9140,E
9141,E
9142,E
9146,E
9147,E
9150,E
9151,E
9158,E
9160,E
9162,E
9182,E
9183,E
9184,E
9194,E
9195,E
9202,D
9203,D
9204,D
9205,D
9218,D
9219,D
9220,D
9221,D
9334,F
9335,F
9336,F
9340,F
9341,F
9344,F
9345,F
9346,F
9356,F
9357,F
9364,E
9365,F
9366,F
9367,F
9376,E
9377,F
9378,F
9379,F
9400,G
9402,G
9416,F
9418,F
9420,F
9424,F
9428,G
9436,D
9438,E
9440,E
9456,F
9458,F
9464,F
9466,F
9468,G
9470,D
9471,D
9472,D
9478,D
9479,D
9480,D
9486,C
9490,C
9502,C
9508,C
9526,D
9527,E
9532,D
9533,D
9554,E
9558,E
9560,G
9561,F
9562,F
9563,F
9564,F
9565,F
9566,F
9567,F
9568,F
9569,F
9570,F
9571,F
9572,F
9573,F
9574,F
9575,F
9576,F
9577,F
9578,F
9579,F
9582,F
9585,F
9588,F
9591,F
9594,F
9600,F
9604,F
9608,F
9612,F
9616,F
9620,F
9777,F
9782,F
9787,F
9792,F
9797,F
9802,F
9833,F
9834,F
9835,F
9836,F
9837,F
9838,F
9839,F
9840,F
9841,F
9842,F
9843,F
9844,F
9845,F
9848,F
9851,F
9854,F
9860,F
9864,F
9868,F
9872,F
9989,F
9994,F
9999,F
10004,F
10026,F
10029,F
10032,F
10035,F
10038,F
10041,F
10044,F
10047,F
10050,F
10053,F
10056,F
10059,F
10298,F
10301,F
10304,F
10307,F
10310,F
10313,F
10316,F
10319,F
