,Marque,Carburant,puiss_max,CO2,masse_ordma_min,Carrosserie,boite,gamme2,Cat_CO2
1217,CITROEN,ES,70.0,134.0,1150,BERLINE,M,MOY-INFERIEURE,C
1218,CITROEN,ES,70.0,127.0,1154,BERLINE,A,MOY-INFERIEURE,C
1219,CITROEN,ES,70.0,129.0,1154,BERLINE,A,MOY-INFERIEURE,C
1220,CITROEN,GO,84.0,118.0,1165,BERLINE,M,MOY-INFERIEURE,B
1221,CITROEN,GO,84.0,114.0,1165,BERLINE,M,MOY-INFERIEURE,B
1222,CITROEN,GO,84.0,109.0,1165,BERLINE,M,MOY-INFERIEURE,B
1223,CITROEN,GO,84.0,99.0,1165,BERLINE,M,MOY-INFERIEURE,A
1224,CITROEN,GO,68.0,95.0,1165,BERLINE,A,MOY-INFERIEURE,A
1225,CITROEN,GO,68.0,99.0,1165,BERLINE,A,MOY-INFERIEURE,A
1226,CITROEN,GO,68.0,95.0,1160,BERLINE,M,MOY-INFERIEURE,A
1227,CITROEN,GO,68.0,90.0,1160,BERLINE,M,MOY-INFERIEURE,A
1228,CITROEN,GO,68.0,98.0,1160,BERLINE,M,MOY-INFERIEURE,A
1229,CITROEN,ES,60.0,107.0,1050,BERLINE,M,MOY-INFERIEURE,B
1230,CITROEN,ES,60.0,104.0,1050,BERLINE,M,MOY-INFERIEURE,B
1231,CITROEN,ES,60.0,102.0,1050,BERLINE,M,MOY-INFERIEURE,B
1232,CITROEN,ES,88.0,136.0,1163,CABRIOLET,M,MOY-INFERIEURE,C
1233,CITROEN,ES,88.0,154.0,1208,CABRIOLET,A,MOY-INFERIEURE,D
1234,CITROEN,ES,115.0,137.0,1231,CABRIOLET,M,MOY-INFERIEURE,C
1235,CITROEN,GO,68.0,99.0,1165,CABRIOLET,A,MOY-INFERIEURE,A
1236,CITROEN,ES,60.0,112.0,1107,CABRIOLET,M,MOY-INFERIEURE,B
1237,CITROEN,ES,60.0,109.0,1107,CABRIOLET,M,MOY-INFERIEURE,B
1238,CITROEN,ES,120.0,178.0,1438,BERLINE,A,MOY-INFERIEURE,E
1239,CITROEN,ES,88.0,144.0,1280,BERLINE,M,MOY-INFERIEURE,D
1240,CITROEN,ES,147.0,149.0,1391,BERLINE,M,MOY-INFERIEURE,D
1241,CITROEN,GO,84.0,122.0,1365,BERLINE,M,MOY-INFERIEURE,C
1242,CITROEN,GO,84.0,110.0,1375,BERLINE,A,MOY-INFERIEURE,B
1243,CITROEN,GO,84.0,110.0,1370,BERLINE,M,MOY-INFERIEURE,B
1244,CITROEN,GO,84.0,114.0,1375,BERLINE,A,MOY-INFERIEURE,B
1245,CITROEN,GO,84.0,113.0,1370,BERLINE,M,MOY-INFERIEURE,B
1246,CITROEN,GO,120.0,130.0,1395,BERLINE,M,MOY-INFERIEURE,C
1247,CITROEN,GO,120.0,149.0,1505,BERLINE,A,MOY-INFERIEURE,D
1248,CITROEN,ES,147.0,155.0,1505,BERLINE,M,MOY-SUPERIEURE,D
1249,CITROEN,ES,115.0,169.0,1495,BERLINE,A,MOY-SUPERIEURE,E
1250,CITROEN,ES,115.0,165.0,1495,BERLINE,A,MOY-SUPERIEURE,E
1251,CITROEN,GO,84.0,114.0,1495,BERLINE,A,MOY-SUPERIEURE,B
1252,CITROEN,GH,120.0,88.0,1735,BERLINE,A,MOY-SUPERIEURE,A
1253,CITROEN,GH,120.0,102.0,1735,BERLINE,A,MOY-SUPERIEURE,B
1254,CITROEN,GO,120.0,133.0,1605,BERLINE,M,MOY-SUPERIEURE,C
1255,CITROEN,GO,120.0,129.0,1605,BERLINE,M,MOY-SUPERIEURE,C
1257,CITROEN,GO,120.0,158.0,1615,BERLINE,A,MOY-SUPERIEURE,D
1258,CITROEN,GO,120.0,154.0,1615,BERLINE,A,MOY-SUPERIEURE,D
1259,CITROEN,GO,81.0,187.0,2010,MINIBUS,M,MOY-INFERIEURE,E
1260,CITROEN,GO,96.0,184.0,2025,MINIBUS,M,MOY-INFERIEURE,E
1261,CITROEN,GO,110.0,184.0,2025,MINIBUS,M,MOY-INFERIEURE,E
1262,CITROEN,GO,96.0,189.0,2135,MINIBUS,M,MOY-INFERIEURE,E
1263,CITROEN,GO,110.0,189.0,2135,MINIBUS,M,MOY-INFERIEURE,E
1264,CITROEN,GO,72.0,179.0,1976,MINIBUS,M,MOY-INFERIEURE,E
1265,CITROEN,GO,94.0,172.0,1976,MINIBUS,M,MOY-INFERIEURE,E
1266,CITROEN,GO,120.0,172.0,1984,MINIBUS,M,MOY-INFERIEURE,E
1267,CITROEN,GO,120.0,199.0,1980,MINIBUS,A,MOY-INFERIEURE,E
1268,CITROEN,GO,72.0,179.0,1986,MINIBUS,M,MOY-INFERIEURE,E
1269,CITROEN,GO,94.0,172.0,1986,MINIBUS,M,MOY-INFERIEURE,E
1270,CITROEN,GO,120.0,172.0,2017,MINIBUS,M,MOY-INFERIEURE,E
1271,CITROEN,GO,120.0,199.0,1997,MINIBUS,A,MOY-INFERIEURE,E
1272,CITROEN,GO,72.0,179.0,2001,MINIBUS,M,MOY-INFERIEURE,E
1273,CITROEN,GO,94.0,172.0,2001,MINIBUS,M,MOY-INFERIEURE,E
1274,CITROEN,GO,120.0,172.0,2032,MINIBUS,M,MOY-INFERIEURE,E
1275,CITROEN,GO,120.0,172.0,2070,MINIBUS,M,MOY-INFERIEURE,E
1276,CITROEN,GO,72.0,179.0,2070,MINIBUS,M,MOY-INFERIEURE,E
1277,CITROEN,GO,94.0,172.0,2070,MINIBUS,M,MOY-INFERIEURE,E
1278,CITROEN,GO,120.0,172.0,2075,MINIBUS,M,MOY-INFERIEURE,E
1279,CITROEN,GO,55.0,119.0,1260,COMBISPACE,M,INFERIEURE,B
1280,CITROEN,GO,55.0,107.0,1275,COMBISPACE,M,INFERIEURE,B
1281,CITROEN,GO,55.0,119.0,1275,COMBISPACE,M,INFERIEURE,B
1282,CITROEN,ES,54.0,152.0,1240,COMBISPACE,M,INFERIEURE,D
1283,CITROEN,ES,54.0,152.0,1255,COMBISPACE,M,INFERIEURE,D
1284,DACIA,ES,85.0,135.0,1280,COMBISPACE,M,INFERIEURE,C
1285,DACIA,ES,60.5,168.0,1165,COMBISPACE,M,INFERIEURE,E
1286,DACIA,GO,55.0,118.0,1280,COMBISPACE,M,INFERIEURE,B
1287,DACIA,GO,66.0,118.0,1280,COMBISPACE,M,INFERIEURE,B
1288,DACIA,ES/GP,77.0,167.0,1280,TS TERRAINS/CHEMINS,M,INFERIEURE,E
1292,DACIA,ES/GP,75.0,145.0,1280,TS TERRAINS/CHEMINS,M,INFERIEURE,D
1296,DACIA,GO,66.0,132.0,1363,TS TERRAINS/CHEMINS,M,INFERIEURE,C
1297,DACIA,GO,79.0,130.0,1280,TS TERRAINS/CHEMINS,M,INFERIEURE,C
1298,DACIA,GO,81.0,135.0,1369,TS TERRAINS/CHEMINS,M,INFERIEURE,C
1299,DACIA,GO,66.0,126.0,1265,TS TERRAINS/CHEMINS,M,INFERIEURE,C
1300,DACIA,ES,85.0,131.0,1267,MONOSPACE COMPACT,M,MOY-INFERIEURE,C
1301,DACIA,ES,60.5,161.0,1165,MONOSPACE COMPACT,M,MOY-INFERIEURE,E
1302,DACIA,GO,79.0,116.0,1280,MONOSPACE COMPACT,M,MOY-INFERIEURE,B
1303,DACIA,ES,85.0,135.0,1280,MONOSPACE COMPACT,M,MOY-INFERIEURE,C
1304,DACIA,ES,60.5,161.0,1266,MONOSPACE COMPACT,M,MOY-INFERIEURE,E
1305,DACIA,GO,79.0,116.0,1337,MONOSPACE COMPACT,M,MOY-INFERIEURE,B
1306,DACIA,GO,66.0,109.0,1280,MONOSPACE COMPACT,M,MOY-INFERIEURE,B
1307,DACIA,GO,66.0,109.0,1313,MONOSPACE COMPACT,M,MOY-INFERIEURE,B
1308,DACIA,GO,55.0,99.0,1134,BREAK,M,INFERIEURE,A
1309,DACIA,ES,66.0,116.0,1073,BREAK,M,INFERIEURE,B
1310,DACIA,ES,55.0,135.0,1049,BREAK,M,INFERIEURE,C
1311,DACIA,GO,66.0,99.0,1134,BREAK,M,INFERIEURE,A
1312,DACIA,GO,55.0,99.0,1108,BERLINE,M,INFERIEURE,A
1313,DACIA,ES,66.0,116.0,1037,BERLINE,M,INFERIEURE,B
1314,DACIA,ES,66.0,124.0,1098,BERLINE,M,INFERIEURE,C
1315,DACIA,ES,55.0,135.0,1016,BERLINE,M,INFERIEURE,C
1316,DACIA,GO,66.0,99.0,1108,BERLINE,M,INFERIEURE,A
1317,DACIA,GO,66.0,105.0,1158,BERLINE,M,INFERIEURE,B
1318,DACIA,ES/GP,55.0,136.0,1055,BERLINE,M,INFERIEURE,C
1322,DACIA,ES/GP,53.0,120.0,1055,BERLINE,M,INFERIEURE,B
1326,DANGEL,GO,84.0,150.0,1591,COMBISPACE,M,INFERIEURE,D
1327,DANGEL,GO,84.0,139.0,1501,COMBISPACE,M,INFERIEURE,C
1328,DANGEL,GO,55.0,139.0,1485,COMBISPACE,M,INFERIEURE,C
1329,DANGEL,GO,68.0,154.0,1575,COMBISPACE,M,INFERIEURE,D
1330,DANGEL,GO,68.0,148.0,1575,COMBISPACE,M,INFERIEURE,D
1332,DANGEL,GO,68.0,139.0,1485,COMBISPACE,M,INFERIEURE,C
1333,DANGEL,GO,68.0,134.0,1485,COMBISPACE,M,INFERIEURE,C
1334,DANGEL,GO,55.0,119.0,1280,COMBISPACE,M,INFERIEURE,B
1336,DANGEL,GO,96.0,229.0,2515,MINIBUS,M,MOY-INFERIEURE,F
1337,DANGEL,GO,96.0,195.0,2515,MINIBUS,M,MOY-INFERIEURE,E
1338,DANGEL,GO,96.0,195.0,2615,MINIBUS,M,MOY-INFERIEURE,E
1339,DANGEL,GO,96.0,195.0,2275,MINIBUS,M,MOY-INFERIEURE,E
1340,DANGEL,GO,109.0,195.0,2515,MINIBUS,M,MOY-INFERIEURE,E
1341,DANGEL,GO,109.0,195.0,2615,MINIBUS,M,MOY-INFERIEURE,E
1342,DANGEL,GO,109.0,195.0,2275,MINIBUS,M,MOY-INFERIEURE,E
1343,DANGEL,GO,96.0,195.0,2680,MINIBUS,M,MOY-INFERIEURE,E
1344,DANGEL,GO,109.0,195.0,2680,MINIBUS,M,MOY-INFERIEURE,E
1345,DANGEL,GO,94.0,199.0,2111,MINIBUS,M,MOY-INFERIEURE,E
1346,DANGEL,GO,94.0,199.0,2121,MINIBUS,M,MOY-INFERIEURE,E
1347,DANGEL,GO,94.0,199.0,2136,MINIBUS,M,MOY-INFERIEURE,E
1348,DANGEL,GO,96.0,229.0,2275,MINIBUS,M,MOY-INFERIEURE,F
1349,DANGEL,GO,110.0,229.0,2515,MINIBUS,M,MOY-INFERIEURE,F
1363,DANGEL,GO,94.0,199.0,2063,MINIBUS,M,MOY-INFERIEURE,E
1365,DANGEL,GO,94.0,199.0,2070,MINIBUS,M,MOY-INFERIEURE,E
1366,FERRARI,ES,416.0,275.0,1590,COUPE,A,LUXE,G
1367,FERRARI,ES,416.0,307.0,1590,COUPE,A,LUXE,G
1370,FERRARI,ES,416.0,275.0,1640,CABRIOLET,A,LUXE,G
1371,FERRARI,ES,416.0,307.0,1640,CABRIOLET,A,LUXE,G
1374,FERRARI,ES,360.0,270.0,1855,CABRIOLET,A,LUXE,G
1375,FERRARI,ES,360.0,299.0,1855,CABRIOLET,A,LUXE,G
1378,FERRARI,ES,360.0,299.0,1875,CABRIOLET,A,LUXE,G
1379,FERRARI,ES,360.0,270.0,1875,CABRIOLET,A,LUXE,G
1382,FERRARI,ES,541.0,350.0,1791,COUPE,A,LUXE,G
1383,FERRARI,ES,541.0,380.0,1791,COUPE,A,LUXE,G
1384,FERRARI,ES,486.0,380.0,1955,COUPE,A,LUXE,G
1385,FERRARI,ES,486.0,360.0,1955,COUPE,A,LUXE,G
1387,FIAT,ES,51.0,118.0,975,BERLINE,A,ECONOMIQUE,B
1388,FIAT,ES,51.0,110.0,975,BERLINE,A,ECONOMIQUE,B
1390,FIAT,ES,51.0,110.0,975,BERLINE,M,ECONOMIQUE,B
1391,FIAT,ES,51.0,115.0,975,BERLINE,A,ECONOMIQUE,B
1393,FIAT,ES,51.0,119.0,940,BERLINE,M,ECONOMIQUE,B
1396,FIAT,ES,51.0,113.0,940,BERLINE,M,ECONOMIQUE,B
1400,FIAT,ES,51.0,104.0,940,BERLINE,M,ECONOMIQUE,B
1404,FIAT,ES/GP,51.0,119.0,940,BERLINE,M,ECONOMIQUE,B
1412,FIAT,ES/GP,51.0,106.0,940,BERLINE,M,ECONOMIQUE,B
1420,FIAT,ES,51.0,110.0,940,BERLINE,M,ECONOMIQUE,B
1421,FIAT,GO,55.0,110.0,1055,BERLINE,M,ECONOMIQUE,B
1422,FIAT,ES,73.5,140.0,1015,BERLINE,A,ECONOMIQUE,C
1423,FIAT,ES,73.5,140.0,1015,BERLINE,M,ECONOMIQUE,C
1424,FIAT,ES,73.5,135.0,1015,BERLINE,A,ECONOMIQUE,C
1426,FIAT,ES,73.5,135.0,1015,BERLINE,M,ECONOMIQUE,C
1427,FIAT,ES,73.5,130.0,1015,BERLINE,A,ECONOMIQUE,C
1429,FIAT,ES,73.5,149.0,1005,BERLINE,M,ECONOMIQUE,D
1431,FIAT,ES,73.5,140.0,1005,BERLINE,M,ECONOMIQUE,C
1434,FIAT,ES,73.5,135.0,1005,BERLINE,M,ECONOMIQUE,C
1436,FIAT,ES,99.0,155.0,1110,BERLINE,M,ECONOMIQUE,D
1437,FIAT,ES,118.0,155.0,1110,BERLINE,M,ECONOMIQUE,D
1438,FIAT,GO,70.0,104.0,1055,BERLINE,M,ECONOMIQUE,B
1440,FIAT,ES,62.5,92.0,1015,BERLINE,A,ECONOMIQUE,A
1441,FIAT,ES,62.5,92.0,1015,BERLINE,M,ECONOMIQUE,A
1442,FIAT,ES,62.5,90.0,1015,BERLINE,A,ECONOMIQUE,A
1443,FIAT,ES,62.5,95.0,1005,BERLINE,M,ECONOMIQUE,A
1445,FIAT,ES,62.5,92.0,1005,BERLINE,M,ECONOMIQUE,A
1446,FIAT,ES,48.0,97.0,940,BERLINE,M,ECONOMIQUE,A
1447,FIAT,ES,48.0,97.0,980,BERLINE,M,ECONOMIQUE,A
1448,FIAT,ES,48.0,95.0,940,BERLINE,M,ECONOMIQUE,A
1449,FIAT,ES,48.0,95.0,980,BERLINE,M,ECONOMIQUE,A
1450,FIAT,ES,51.0,118.0,1015,BERLINE,A,ECONOMIQUE,B
1451,FIAT,ES,51.0,110.0,1015,BERLINE,A,ECONOMIQUE,B
1453,FIAT,ES,51.0,115.0,1015,BERLINE,A,ECONOMIQUE,B
1455,FIAT,ES,51.0,119.0,980,BERLINE,M,ECONOMIQUE,B
1457,FIAT,ES,51.0,113.0,980,BERLINE,M,ECONOMIQUE,B
1458,FIAT,ES,51.0,110.0,980,BERLINE,M,ECONOMIQUE,B
1459,FIAT,GO,55.0,110.0,1095,BERLINE,M,ECONOMIQUE,B
1460,FIAT,ES,73.5,140.0,1055,BERLINE,A,ECONOMIQUE,C
1461,FIAT,ES,73.5,135.0,1055,BERLINE,A,ECONOMIQUE,C
1463,FIAT,ES,73.5,135.0,1055,BERLINE,M,ECONOMIQUE,C
1464,FIAT,ES,73.5,130.0,1055,BERLINE,A,ECONOMIQUE,C
1466,FIAT,ES,73.5,149.0,1045,BERLINE,M,ECONOMIQUE,D
1467,FIAT,ES,73.5,140.0,1045,BERLINE,M,ECONOMIQUE,C
1470,FIAT,ES,73.5,135.0,1045,BERLINE,M,ECONOMIQUE,C
1472,FIAT,GO,70.0,104.0,1095,BERLINE,M,ECONOMIQUE,B
1474,FIAT,ES,62.5,92.0,1055,BERLINE,A,ECONOMIQUE,A
1475,FIAT,ES,62.5,92.0,1055,BERLINE,M,ECONOMIQUE,A
1476,FIAT,ES,62.5,90.0,1055,BERLINE,A,ECONOMIQUE,A
1477,FIAT,ES,62.5,95.0,1045,BERLINE,M,ECONOMIQUE,A
1479,FIAT,ES,62.5,92.0,1045,BERLINE,M,ECONOMIQUE,A
1480,FIAT,GO,62.0,105.0,1395,MINISPACE,M,ECONOMIQUE,B
1482,FIAT,GO,62.0,109.0,1385,MINISPACE,M,ECONOMIQUE,B
1484,FIAT,GO,62.0,105.0,1375,MINISPACE,M,ECONOMIQUE,B
1485,FIAT,GO,62.0,110.0,1390,MINISPACE,M,ECONOMIQUE,B
1489,FIAT,GO,62.0,114.0,1380,MINISPACE,M,ECONOMIQUE,B
1491,FIAT,GO,62.0,110.0,1370,MINISPACE,M,ECONOMIQUE,B
1493,FIAT,ES,70.0,145.0,1320,MINISPACE,M,ECONOMIQUE,D
1495,FIAT,ES,70.0,149.0,1330,MINISPACE,M,ECONOMIQUE,D
1496,FIAT,ES,77.0,112.0,1335,MINISPACE,M,ECONOMIQUE,B
1500,FIAT,ES,77.0,109.0,1335,MINISPACE,M,ECONOMIQUE,B
1506,FIAT,ES,77.0,119.0,1345,MINISPACE,M,ECONOMIQUE,B
1508,FIAT,GO,77.0,117.0,1440,MINISPACE,M,ECONOMIQUE,B
1510,FIAT,GO,77.0,122.0,1450,MINISPACE,M,ECONOMIQUE,C
1513,FIAT,ES,66.0,146.0,1280,BERLINE,M,MOY-INFERIEURE,D
1514,FIAT,ES/GP,66.0,146.0,1280,BERLINE,M,MOY-INFERIEURE,D
1522,FIAT,ES/GP,66.0,134.0,1280,BERLINE,M,MOY-INFERIEURE,C
1530,FIAT,ES,88.0,146.0,1335,BERLINE,M,MOY-INFERIEURE,D
1532,FIAT,GO,77.0,129.0,1395,BERLINE,M,MOY-INFERIEURE,C
1536,FIAT,GO,77.0,115.0,1395,BERLINE,M,MOY-INFERIEURE,B
1537,FIAT,GO,88.0,120.0,1395,BERLINE,M,MOY-INFERIEURE,B
1541,FIAT,GO,88.0,129.0,1395,BERLINE,M,MOY-INFERIEURE,C
1545,FIAT,GO,88.0,125.0,1395,BERLINE,M,MOY-INFERIEURE,C
1546,FIAT,GO,88.0,122.0,1395,BERLINE,M,MOY-INFERIEURE,C
1547,FIAT,GO,121.0,139.0,1435,BERLINE,M,MOY-INFERIEURE,C
1551,FIAT,ES,103.0,132.0,1350,BERLINE,M,MOY-INFERIEURE,C
1553,FIAT,GO,121.0,135.0,1435,BERLINE,M,MOY-INFERIEURE,C
1555,FIAT,GO,120.0,135.0,1435,BERLINE,M,MOY-INFERIEURE,C
1557,FIAT,ES,70.0,166.0,1415,COMBISPACE,M,INFERIEURE,E
1559,FIAT,ES,70.0,166.0,1445,COMBISPACE,M,INFERIEURE,E
1560,FIAT,ES,70.0,172.0,1445,COMBISPACE,M,INFERIEURE,E
1562,FIAT,ES,70.0,171.0,1505,COMBISPACE,M,INFERIEURE,E
1563,FIAT,ES,70.0,177.0,1505,COMBISPACE,M,INFERIEURE,E
1564,FIAT,GO,77.0,138.0,1485,COMBISPACE,M,INFERIEURE,C
1565,FIAT,GO,77.0,138.0,1505,COMBISPACE,M,INFERIEURE,C
1568,FIAT,GO,77.0,145.0,1505,COMBISPACE,M,INFERIEURE,D
1569,FIAT,GO,77.0,150.0,1575,COMBISPACE,M,INFERIEURE,D
1570,FIAT,GO,77.0,158.0,1575,COMBISPACE,M,INFERIEURE,D
1571,FIAT,GO,99.0,150.0,1525,COMBISPACE,M,INFERIEURE,D
1572,FIAT,GO,99.0,150.0,1555,COMBISPACE,M,INFERIEURE,D
1575,FIAT,GO,99.0,156.0,1555,COMBISPACE,M,INFERIEURE,D
1576,FIAT,GO,99.0,157.0,1615,COMBISPACE,M,INFERIEURE,D
1577,FIAT,GO,99.0,163.0,1615,COMBISPACE,M,INFERIEURE,E
1578,FIAT,ES/GN,88.0,173.0,1615,COMBISPACE,M,INFERIEURE,E
1594,FIAT,ES/GN,88.0,134.0,1615,COMBISPACE,M,INFERIEURE,C
1626,FIAT,ES,88.0,169.0,1490,COMBISPACE,M,INFERIEURE,E
1628,FIAT,GO,66.0,133.0,1485,COMBISPACE,A,INFERIEURE,C
1629,FIAT,GO,66.0,133.0,1505,COMBISPACE,A,INFERIEURE,C
1630,FIAT,GO,66.0,145.0,1505,COMBISPACE,A,INFERIEURE,D
1631,FIAT,GO,66.0,138.0,1485,COMBISPACE,M,INFERIEURE,C
1632,FIAT,GO,66.0,138.0,1505,COMBISPACE,M,INFERIEURE,C
1633,FIAT,GO,66.0,148.0,1505,COMBISPACE,M,INFERIEURE,D
1636,FIAT,GO,66.0,145.0,1505,COMBISPACE,M,INFERIEURE,D
1637,FIAT,GO,66.0,150.0,1575,COMBISPACE,M,INFERIEURE,D
1638,FIAT,GO,66.0,158.0,1575,COMBISPACE,M,INFERIEURE,D
1644,FIAT,GO,66.0,141.0,1505,COMBISPACE,A,INFERIEURE,D
1645,FIAT,GO,66.0,152.0,1575,COMBISPACE,A,INFERIEURE,D
1646,FIAT,GO,66.0,163.0,1575,COMBISPACE,A,INFERIEURE,E
1647,FIAT,GO,96.0,186.0,2290,MINIBUS,A,MOY-INFERIEURE,E
1649,FIAT,GO,96.0,173.0,2025,MINIBUS,A,MOY-INFERIEURE,E
1651,FIAT,GO,96.0,186.0,2290,MINIBUS,M,MOY-INFERIEURE,E
1653,FIAT,GO,96.0,180.0,2290,MINIBUS,M,MOY-INFERIEURE,E
1659,FIAT,GO,96.0,173.0,2025,MINIBUS,M,MOY-INFERIEURE,E
1661,FIAT,GO,96.0,167.0,2025,MINIBUS,M,MOY-INFERIEURE,E
1666,FIAT,GO,109.0,186.0,2290,MINIBUS,A,MOY-INFERIEURE,E
1668,FIAT,GO,109.0,173.0,2025,MINIBUS,A,MOY-INFERIEURE,E
1670,FIAT,GO,109.0,186.0,2290,MINIBUS,M,MOY-INFERIEURE,E
1672,FIAT,GO,109.0,180.0,2290,MINIBUS,M,MOY-INFERIEURE,E
1676,FIAT,GO,109.0,173.0,2025,MINIBUS,M,MOY-INFERIEURE,E
1678,FIAT,GO,109.0,167.0,2025,MINIBUS,M,MOY-INFERIEURE,E
1682,FIAT,GO,130.0,207.0,2340,MINIBUS,A,MOY-INFERIEURE,F
1684,FIAT,GO,130.0,181.0,2075,MINIBUS,A,MOY-INFERIEURE,E
1686,FIAT,GO,130.0,210.0,2340,MINIBUS,M,MOY-INFERIEURE,F
1688,FIAT,GO,130.0,184.0,2075,MINIBUS,M,MOY-INFERIEURE,E
1690,FIAT,GO,85.0,182.0,2275,MINIBUS,M,MOY-INFERIEURE,E
1692,FIAT,GO,85.0,166.0,2010,MINIBUS,M,MOY-INFERIEURE,E
1696,FIAT,GO,96.0,186.0,2375,MINIBUS,A,MOY-INFERIEURE,E
1698,FIAT,GO,96.0,186.0,2475,MINIBUS,A,MOY-INFERIEURE,E
1699,FIAT,GO,96.0,186.0,2450,MINIBUS,A,MOY-INFERIEURE,E
1700,FIAT,GO,96.0,180.0,2135,MINIBUS,A,MOY-INFERIEURE,E
1702,FIAT,GO,96.0,186.0,2375,MINIBUS,M,MOY-INFERIEURE,E
1704,FIAT,GO,96.0,186.0,2475,MINIBUS,M,MOY-INFERIEURE,E
1706,FIAT,GO,96.0,186.0,2450,MINIBUS,M,MOY-INFERIEURE,E
1707,FIAT,GO,96.0,180.0,2375,MINIBUS,M,MOY-INFERIEURE,E
1712,FIAT,GO,96.0,180.0,2475,MINIBUS,M,MOY-INFERIEURE,E
1715,FIAT,GO,96.0,180.0,2450,MINIBUS,M,MOY-INFERIEURE,E
1716,FIAT,GO,96.0,180.0,2135,MINIBUS,M,MOY-INFERIEURE,E
1718,FIAT,GO,96.0,174.0,2025,MINIBUS,M,MOY-INFERIEURE,E
1722,FIAT,GO,109.0,186.0,2375,MINIBUS,A,MOY-INFERIEURE,E
1724,FIAT,GO,109.0,186.0,2475,MINIBUS,A,MOY-INFERIEURE,E
1725,FIAT,GO,109.0,180.0,2135,MINIBUS,A,MOY-INFERIEURE,E
1727,FIAT,GO,109.0,186.0,2375,MINIBUS,M,MOY-INFERIEURE,E
1729,FIAT,GO,109.0,186.0,2475,MINIBUS,M,MOY-INFERIEURE,E
1730,FIAT,GO,109.0,180.0,2375,MINIBUS,M,MOY-INFERIEURE,E
1734,FIAT,GO,109.0,180.0,2475,MINIBUS,M,MOY-INFERIEURE,E
1736,FIAT,GO,109.0,180.0,2450,MINIBUS,M,MOY-INFERIEURE,E
1737,FIAT,GO,109.0,180.0,2135,MINIBUS,M,MOY-INFERIEURE,E
1741,FIAT,GO,109.0,174.0,2135,MINIBUS,M,MOY-INFERIEURE,E
1747,FIAT,GO,130.0,207.0,2425,MINIBUS,A,MOY-INFERIEURE,F
1749,FIAT,GO,130.0,207.0,2525,MINIBUS,A,MOY-INFERIEURE,F
1750,FIAT,GO,130.0,210.0,2425,MINIBUS,M,MOY-INFERIEURE,F
1752,FIAT,GO,130.0,210.0,2525,MINIBUS,M,MOY-INFERIEURE,F
1754,FIAT,GO,85.0,182.0,2360,MINIBUS,M,MOY-INFERIEURE,E
1756,FIAT,GO,85.0,182.0,2460,MINIBUS,M,MOY-INFERIEURE,E
1757,FIAT,GO,85.0,174.0,2120,MINIBUS,M,MOY-INFERIEURE,E
1759,FIAT,GO,96.0,186.0,2540,MINIBUS,A,MOY-INFERIEURE,E
1760,FIAT,GO,96.0,186.0,2540,MINIBUS,M,MOY-INFERIEURE,E
1762,FIAT,GO,96.0,180.0,2540,MINIBUS,M,MOY-INFERIEURE,E
1765,FIAT,GO,109.0,186.0,2540,MINIBUS,A,MOY-INFERIEURE,E
1766,FIAT,GO,109.0,186.0,2540,MINIBUS,M,MOY-INFERIEURE,E
1767,FIAT,GO,109.0,180.0,2540,MINIBUS,M,MOY-INFERIEURE,E
1769,FIAT,GO,85.0,182.0,2525,MINIBUS,M,MOY-INFERIEURE,E
1770,FIAT,ES/GN,57.0,152.0,1365,COMBISPACE,M,INFERIEURE,D
1778,FIAT,ES/GN,51.0,114.0,1365,COMBISPACE,M,INFERIEURE,B
1786,FIAT,GO,55.0,107.0,1275,COMBISPACE,M,INFERIEURE,B
1788,FIAT,GO,55.0,119.0,1260,COMBISPACE,M,INFERIEURE,B
1789,FIAT,GO,55.0,119.0,1275,COMBISPACE,M,INFERIEURE,B
1790,FIAT,GO,70.0,107.0,1275,COMBISPACE,M,INFERIEURE,B
1791,FIAT,ES,54.0,152.0,1255,COMBISPACE,M,INFERIEURE,D
1792,FIAT,GO,103.0,169.0,1891,TS TERRAINS/CHEMINS,M,MOY-SUPERIEURE,E
1793,FIAT,GO,125.0,169.0,1891,TS TERRAINS/CHEMINS,M,MOY-SUPERIEURE,E
1794,FIAT,GO,103.0,169.0,1940,TS TERRAINS/CHEMINS,M,MOY-SUPERIEURE,E
1795,FIAT,GO,125.0,169.0,1940,TS TERRAINS/CHEMINS,M,MOY-SUPERIEURE,E
1796,FIAT,GO,125.0,194.0,2089,TS TERRAINS/CHEMINS,A,MOY-SUPERIEURE,E
1797,FIAT,ES,206.0,262.0,1987,TS TERRAINS/CHEMINS,A,MOY-SUPERIEURE,G
1798,FIAT,ES,206.0,262.0,2031,TS TERRAINS/CHEMINS,A,MOY-SUPERIEURE,G
1799,FIAT,ES,51.0,110.0,935,BERLINE,M,INFERIEURE,B
1801,FIAT,ES,51.0,139.0,1055,BERLINE,M,INFERIEURE,C
1802,FIAT,GO,55.0,128.0,1150,BERLINE,M,INFERIEURE,C
1804,FIAT,ES/GN,57.0,139.0,1125,BERLINE,M,INFERIEURE,C
1812,FIAT,ES/GN,51.0,107.0,1125,BERLINE,M,INFERIEURE,B
1820,FIAT,ES,51.0,120.0,1015,BERLINE,M,INFERIEURE,B
1822,FIAT,ES/GP,51.0,120.0,1055,BERLINE,M,INFERIEURE,B
1830,FIAT,ES/GP,51.0,107.0,1055,BERLINE,M,INFERIEURE,B
