,CO2
1649,173.0
1651,186.0
1653,180.0
1659,173.0
1661,167.0
1666,186.0
1668,173.0
1670,186.0
1672,180.0
1676,173.0
1678,167.0
1682,207.0
1684,181.0
1686,210.0
1688,184.0
1690,182.0
1692,166.0
1696,186.0
1698,186.0
1699,186.0
1700,180.0
1702,186.0
1704,186.0
1706,186.0
1707,180.0
1712,180.0
1715,180.0
1716,180.0
1718,174.0
1722,186.0
1724,186.0
1725,180.0
1727,186.0
1729,186.0
1730,180.0
1734,180.0
1736,180.0
1737,180.0
1741,174.0
1747,207.0
1749,207.0
1750,210.0
1752,210.0
1754,182.0
1756,182.0
1757,174.0
1759,186.0
1760,186.0
1762,180.0
1765,186.0
1766,186.0
1767,180.0
1769,182.0
1786,107.0
1788,119.0
1789,119.0
1790,107.0
1791,152.0
1792,169.0
1793,169.0
1794,169.0
1795,169.0
1796,194.0
1797,262.0
1798,262.0
1799,110.0
1801,139.0
1802,128.0
1820,120.0
1902,105.0
1904,97.0
1906,114.0
1908,104.0
1910,109.0
1912,125.0
1914,124.0
1931,132.0
1932,112.0
1934,110.0
1935,133.0
1936,90.0
1937,126.0
1939,98.0
1940,124.0
1957,132.0
1958,112.0
1960,110.0
1961,133.0
1962,90.0
1963,126.0
1965,98.0
1966,183.0
1968,183.0
1970,183.0
1972,183.0
1974,183.0
1976,183.0
1978,165.0
1979,155.0
1980,143.0
1981,141.0
1986,128.0
1988,129.0
1989,149.0
1991,141.0
1992,139.0
1994,149.0
1995,114.0
1996,139.0
1997,104.0
1998,109.0
1999,144.0
2000,144.0
2001,117.0
2002,117.0
2003,117.0
2004,112.0
2005,117.0
2006,112.0
2007,129.0
2008,144.0
2009,144.0
2010,129.0
2011,144.0
2012,138.0
2013,138.0
2014,138.0
2015,99.0
2017,99.0
2018,99.0
2019,99.0
2020,99.0
2021,99.0
2022,120.0
2023,120.0
2024,120.0
2025,120.0
2026,87.0
2027,87.0
2028,95.0
2030,95.0
2031,98.0
2032,98.0
2033,137.0
2034,137.0
2035,137.0
2036,137.0
2037,137.0
2038,137.0
2039,114.0
2040,117.0
2041,117.0
2042,109.0
2043,112.0
2044,112.0
2045,99.0
2046,99.0
2047,99.0
2048,88.0
2049,88.0
2050,88.0
2051,146.0
2052,146.0
2053,146.0
2054,169.0
2055,169.0
2056,109.0
2057,109.0
2058,109.0
2059,109.0
2060,109.0
2061,109.0
2062,124.0
2063,134.0
2064,124.0
2065,134.0
2066,124.0
2067,134.0
2068,134.0
2069,134.0
2070,134.0
2071,124.0
2072,134.0
2073,124.0
2074,134.0
2075,124.0
2076,134.0
2077,136.0
2078,139.0
2079,139.0
2080,167.0
2081,189.0
2082,179.0
2083,139.0
2084,189.0
2085,139.0
2086,159.0
2087,139.0
2088,159.0
2089,149.0
2091,149.0
2093,119.0
2095,119.0
2097,124.0
2099,120.0
2101,124.0
2103,120.0
2105,134.0
2106,149.0
2109,149.0
2111,134.0
2112,149.0
2115,115.0
2116,109.0
2117,154.0
2118,179.0
2119,154.0
2120,162.0
2121,139.0
2122,154.0
2123,162.0
2124,149.0
2126,149.0
2127,173.0
2129,173.0
2130,112.0
2132,112.0
2133,125.0
2135,125.0
2136,179.0
2138,179.0
2139,149.0
2141,149.0
2142,119.0
2144,120.0
2145,149.0
2147,149.0
2148,119.0
2150,120.0
2151,159.0
2152,189.0
2153,174.0
2154,139.0
2155,189.0
2156,194.0
2157,139.0
2158,159.0
2159,139.0
2160,159.0
2161,172.0
2162,172.0
2163,172.0
2164,172.0
2165,168.0
2167,168.0
2168,181.0
2169,168.0
2171,168.0
2172,181.0
2173,168.0
2175,168.0
2176,184.0
2177,189.0
2179,194.0
2180,184.0
2181,189.0
2183,194.0
2184,184.0
2185,189.0
2188,194.0
2189,197.0
2190,189.0
2191,192.0
2194,194.0
2195,197.0
2197,194.0
2200,199.0
2201,203.0
2202,194.0
2203,197.0
2206,199.0
2207,203.0
2208,184.0
2209,189.0
2212,189.0
2213,192.0
2217,194.0
2220,194.0
2221,197.0
2224,194.0
2225,197.0
